#CAMI Format for Binning
@Version:0.9.0
@SampleID:gsa
@@SEQUENCEID	BINID
RL|S1|C9595	10
RL|S1|C9608	10
RL|S1|C9752	10
RL|S1|C9753	10
RL|S1|C9762	10
RL|S1|C9786	10
RL|S1|C9851	10
RL|S1|C9885	10
RL|S1|C9891	10
RL|S1|C9917	10
RL|S1|C9941	10
RL|S1|C9984	10
RL|S1|C10034	10
RL|S1|C10080	10
RL|S1|C10108	10
RL|S1|C10136	10
RL|S1|C10261	10
RL|S1|C10289	10
RL|S1|C10308	10
RL|S1|C10325	10
RL|S1|C10335	10
RL|S1|C10417	10
RL|S1|C10657	10
RL|S1|C10698	10
RL|S1|C10782	10
RL|S1|C10846	10
RL|S1|C10852	10
RL|S1|C10871	10
RL|S1|C10994	10
RL|S1|C11037	10
RL|S1|C11240	10
RL|S1|C11281	10
RL|S1|C11354	10
RL|S1|C11413	10
RL|S1|C11424	10
RL|S1|C11520	10
RL|S1|C11540	10
RL|S1|C11622	10
RL|S1|C11675	10
RL|S1|C11683	10
RL|S1|C11702	10
RL|S1|C11783	10
RL|S1|C11792	10
RL|S1|C11878	10
RL|S1|C11913	10
RL|S1|C11999	10
RL|S1|C12031	10
RL|S1|C12170	10
RL|S1|C12253	10
RL|S1|C12503	10
RL|S1|C12630	10
RL|S1|C12670	10
RL|S1|C12682	10
RL|S1|C12723	10
RL|S1|C12768	10
RL|S1|C12771	10
RL|S1|C12809	10
RL|S1|C12817	10
RL|S1|C12820	10
RL|S1|C12862	10
RL|S1|C12868	10
RL|S1|C12932	10
RL|S1|C12947	10
RL|S1|C12957	10
RL|S1|C12967	10
RL|S1|C12989	10
RL|S1|C13017	10
RL|S1|C13098	10
RL|S1|C13446	10
RL|S1|C13483	10
RL|S1|C13509	10
RL|S1|C13678	10
RL|S1|C13710	10
RL|S1|C13742	10
RL|S1|C13947	10
RL|S1|C13995	10
RL|S1|C14080	10
RL|S1|C14135	10
RL|S1|C14188	10
RL|S1|C14335	10
RL|S1|C14353	10
RL|S1|C14522	10
RL|S1|C14525	10
RL|S1|C15248	10
RL|S1|C15251	10
RL|S1|C15277	10
RL|S1|C15282	10
RL|S1|C15428	10
RL|S1|C15509	10
RL|S1|C15630	10
RL|S1|C15636	10
RL|S1|C15688	10
RL|S1|C15740	10
RL|S1|C15785	10
RL|S1|C15864	10
RL|S1|C16010	10
RL|S1|C16030	10
RL|S1|C16060	10
RL|S1|C16270	10
RL|S1|C16297	10
RL|S1|C16407	10
RL|S1|C16553	10
RL|S1|C16570	10
RL|S1|C16737	10
RL|S1|C16784	10
RL|S1|C16940	10
RL|S1|C17070	10
RL|S1|C17177	10
RL|S1|C17192	10
RL|S1|C17317	10
RL|S1|C17371	10
RL|S1|C17402	10
RL|S1|C17465	10
RL|S1|C17550	10
RL|S1|C17619	10
RL|S1|C17634	10
RL|S1|C17661	10
RL|S1|C17671	10
RL|S1|C17738	10
RL|S1|C17804	10
RL|S1|C17898	10
RL|S1|C17903	10
RL|S1|C17971	10
RL|S1|C17980	10
RL|S1|C18026	10
RL|S1|C18088	10
RL|S1|C18099	10
RL|S1|C18104	10
RL|S1|C18259	10
RL|S1|C18317	10
RL|S1|C18330	10
RL|S1|C18387	10
RL|S1|C18479	10
RL|S1|C18500	10
RL|S1|C18509	10
RL|S1|C18510	10
RL|S1|C18517	10
RL|S1|C18709	10
RL|S1|C18798	10
RL|S1|C18861	10
RL|S1|C18864	10
RL|S1|C18910	10
RL|S1|C18936	10
RL|S1|C18966	10
RL|S1|C19091	10
RL|S1|C19346	10
RL|S1|C19409	10
RL|S1|C27	11
RL|S1|C32	11
RL|S1|C45	11
RL|S1|C86	11
RL|S1|C100	11
RL|S1|C122	11
RL|S1|C136	11
RL|S1|C145	11
RL|S1|C275	11
RL|S1|C289	11
RL|S1|C320	11
RL|S1|C324	11
RL|S1|C325	11
RL|S1|C362	11
RL|S1|C372	11
RL|S1|C394	11
RL|S1|C499	11
RL|S1|C532	11
RL|S1|C559	11
RL|S1|C597	11
RL|S1|C677	11
RL|S1|C685	11
RL|S1|C719	11
RL|S1|C773	11
RL|S1|C810	11
RL|S1|C924	11
RL|S1|C942	11
RL|S1|C1011	11
RL|S1|C1073	11
RL|S1|C1076	11
RL|S1|C1195	11
RL|S1|C1237	11
RL|S1|C1289	11
RL|S1|C1341	11
RL|S1|C1359	11
RL|S1|C1380	11
RL|S1|C1443	11
RL|S1|C1467	11
RL|S1|C1509	11
RL|S1|C1510	11
RL|S1|C1558	11
RL|S1|C1566	11
RL|S1|C1597	11
RL|S1|C1755	11
RL|S1|C1770	11
RL|S1|C1837	11
RL|S1|C1843	11
RL|S1|C1994	11
RL|S1|C2001	11
RL|S1|C2030	11
RL|S1|C2048	11
RL|S1|C2058	11
RL|S1|C2076	11
RL|S1|C2094	11
RL|S1|C2122	11
RL|S1|C2125	11
RL|S1|C2178	11
RL|S1|C2209	11
RL|S1|C2250	11
RL|S1|C2274	11
RL|S1|C2356	11
RL|S1|C2357	11
RL|S1|C2367	11
RL|S1|C2450	11
RL|S1|C2472	11
RL|S1|C2493	11
RL|S1|C2522	11
RL|S1|C2534	11
RL|S1|C2589	11
RL|S1|C2660	11
RL|S1|C2678	11
RL|S1|C2723	11
RL|S1|C2730	11
RL|S1|C2758	11
RL|S1|C2785	11
RL|S1|C2794	11
RL|S1|C2803	11
RL|S1|C2848	11
RL|S1|C2855	11
RL|S1|C2888	11
RL|S1|C2990	11
RL|S1|C3022	11
RL|S1|C3025	11
RL|S1|C3034	11
RL|S1|C3077	11
RL|S1|C3094	11
RL|S1|C3138	11
RL|S1|C3199	11
RL|S1|C3205	11
RL|S1|C3243	11
RL|S1|C3287	11
RL|S1|C3303	11
RL|S1|C3337	11
RL|S1|C3375	11
RL|S1|C3494	11
RL|S1|C3506	11
RL|S1|C3521	11
RL|S1|C3531	11
RL|S1|C3549	11
RL|S1|C3560	11
RL|S1|C3589	11
RL|S1|C3593	11
RL|S1|C3623	11
RL|S1|C3632	11
RL|S1|C3635	11
RL|S1|C3645	11
RL|S1|C3684	11
RL|S1|C3691	11
RL|S1|C3725	11
RL|S1|C3745	11
RL|S1|C3776	11
RL|S1|C3787	11
RL|S1|C3929	11
RL|S1|C3951	11
RL|S1|C4060	11
RL|S1|C4080	11
RL|S1|C4092	11
RL|S1|C4105	11
RL|S1|C4119	11
RL|S1|C4122	11
RL|S1|C4128	11
RL|S1|C4148	11
RL|S1|C4149	11
RL|S1|C4162	11
RL|S1|C4194	11
RL|S1|C4209	11
RL|S1|C4218	11
RL|S1|C4228	11
RL|S1|C4280	11
RL|S1|C4312	11
RL|S1|C4393	11
RL|S1|C4438	11
RL|S1|C4442	11
RL|S1|C4481	11
RL|S1|C4486	11
RL|S1|C4492	11
RL|S1|C4504	11
RL|S1|C4505	11
RL|S1|C4577	11
RL|S1|C4596	11
RL|S1|C4680	11
RL|S1|C4702	11
RL|S1|C4706	11
RL|S1|C4783	11
RL|S1|C4863	11
RL|S1|C4871	11
RL|S1|C4879	11
RL|S1|C4891	11
RL|S1|C4933	11
RL|S1|C5047	11
RL|S1|C5065	11
RL|S1|C5088	11
RL|S1|C5176	11
RL|S1|C5194	11
RL|S1|C5196	11
RL|S1|C5222	11
RL|S1|C5248	11
RL|S1|C5293	11
RL|S1|C5299	11
RL|S1|C5375	11
RL|S1|C5413	11
RL|S1|C5451	11
RL|S1|C5466	11
RL|S1|C5467	11
RL|S1|C5470	11
RL|S1|C5557	11
RL|S1|C5574	11
RL|S1|C5579	11
RL|S1|C5602	11
RL|S1|C5662	11
RL|S1|C5688	11
RL|S1|C5695	11
RL|S1|C5714	11
RL|S1|C5790	11
RL|S1|C5797	11
RL|S1|C5864	11
RL|S1|C6067	11
RL|S1|C6094	11
RL|S1|C6100	11
RL|S1|C6184	11
RL|S1|C6203	11
RL|S1|C6212	11
RL|S1|C6214	11
RL|S1|C6283	11
RL|S1|C6375	11
RL|S1|C6378	11
RL|S1|C6528	11
RL|S1|C6558	11
RL|S1|C6579	11
RL|S1|C6595	11
RL|S1|C6604	11
RL|S1|C6656	11
RL|S1|C6659	11
RL|S1|C6672	11
RL|S1|C6732	11
RL|S1|C6779	11
RL|S1|C6809	11
RL|S1|C6858	11
RL|S1|C6965	11
RL|S1|C6979	11
RL|S1|C6985	11
RL|S1|C6988	11
RL|S1|C7082	11
RL|S1|C7092	11
RL|S1|C7147	11
RL|S1|C7173	11
RL|S1|C7199	11
RL|S1|C7235	11
RL|S1|C7280	11
RL|S1|C7288	11
RL|S1|C7300	11
RL|S1|C7335	11
RL|S1|C7374	11
RL|S1|C7392	11
RL|S1|C7445	11
RL|S1|C7496	11
RL|S1|C7501	11
RL|S1|C7532	11
RL|S1|C7569	11
RL|S1|C7587	11
RL|S1|C7607	11
RL|S1|C7635	11
RL|S1|C7652	11
RL|S1|C7685	11
RL|S1|C7734	11
RL|S1|C7765	11
RL|S1|C7766	11
RL|S1|C7825	11
RL|S1|C7896	11
RL|S1|C7941	11
RL|S1|C8007	11
RL|S1|C8015	11
RL|S1|C8025	11
RL|S1|C8035	11
RL|S1|C8073	11
RL|S1|C8087	11
RL|S1|C8088	11
RL|S1|C8110	11
RL|S1|C8187	11
RL|S1|C8208	11
RL|S1|C8244	11
RL|S1|C8258	11
RL|S1|C8262	11
RL|S1|C8317	11
RL|S1|C8372	11
RL|S1|C8395	11
RL|S1|C8397	11
RL|S1|C8442	11
RL|S1|C8493	11
RL|S1|C8548	11
RL|S1|C8562	11
RL|S1|C8570	11
RL|S1|C8572	11
RL|S1|C8629	11
RL|S1|C8658	11
RL|S1|C8694	11
RL|S1|C8777	11
RL|S1|C8798	11
RL|S1|C8831	11
RL|S1|C8836	11
RL|S1|C8888	11
RL|S1|C8900	11
RL|S1|C8911	11
RL|S1|C8933	11
RL|S1|C8984	11
RL|S1|C8988	11
RL|S1|C9002	11
RL|S1|C9059	11
RL|S1|C9060	11
RL|S1|C9088	11
RL|S1|C9101	11
RL|S1|C9139	11
RL|S1|C9167	11
RL|S1|C9170	11
RL|S1|C9180	11
RL|S1|C9220	11
RL|S1|C9256	11
RL|S1|C9278	11
RL|S1|C9335	11
RL|S1|C9369	11
RL|S1|C9401	11
RL|S1|C9408	11
RL|S1|C9434	11
RL|S1|C9453	11
RL|S1|C9459	11
RL|S1|C9541	11
RL|S1|C9576	11
RL|S1|C9582	11
RL|S1|C9793	11
RL|S1|C9826	11
RL|S1|C9883	11
RL|S1|C9898	11
RL|S1|C9901	11
RL|S1|C9947	11
RL|S1|C9963	11
RL|S1|C10039	11
RL|S1|C10052	11
RL|S1|C10113	11
RL|S1|C10128	11
RL|S1|C10132	11
RL|S1|C10279	11
RL|S1|C10315	11
RL|S1|C10330	11
RL|S1|C10368	11
RL|S1|C10396	11
RL|S1|C10414	11
RL|S1|C10419	11
RL|S1|C10422	11
RL|S1|C10440	11
RL|S1|C10504	11
RL|S1|C10509	11
RL|S1|C10510	11
RL|S1|C10513	11
RL|S1|C10533	11
RL|S1|C10569	11
RL|S1|C10577	11
RL|S1|C10578	11
RL|S1|C10585	11
RL|S1|C10605	11
RL|S1|C10637	11
RL|S1|C10660	11
RL|S1|C10721	11
RL|S1|C10731	11
RL|S1|C10743	11
RL|S1|C10794	11
RL|S1|C10797	11
RL|S1|C10931	11
RL|S1|C10954	11
RL|S1|C10983	11
RL|S1|C11052	11
RL|S1|C11066	11
RL|S1|C11073	11
RL|S1|C11096	11
RL|S1|C11106	11
RL|S1|C11113	11
RL|S1|C11142	11
RL|S1|C11177	11
RL|S1|C11218	11
RL|S1|C11238	11
RL|S1|C11252	11
RL|S1|C11279	11
RL|S1|C11324	11
RL|S1|C11329	11
RL|S1|C11331	11
RL|S1|C11358	11
RL|S1|C11435	11
RL|S1|C11454	11
RL|S1|C11499	11
RL|S1|C11506	11
RL|S1|C11512	11
RL|S1|C11536	11
RL|S1|C11581	11
RL|S1|C11604	11
RL|S1|C11615	11
RL|S1|C11663	11
RL|S1|C11665	11
RL|S1|C11743	11
RL|S1|C11765	11
RL|S1|C11774	11
RL|S1|C11798	11
RL|S1|C11825	11
RL|S1|C11826	11
RL|S1|C11875	11
RL|S1|C11894	11
RL|S1|C11923	11
RL|S1|C11952	11
RL|S1|C11968	11
RL|S1|C11972	11
RL|S1|C11988	11
RL|S1|C12000	11
RL|S1|C12047	11
RL|S1|C12053	11
RL|S1|C12057	11
RL|S1|C12116	11
RL|S1|C12157	11
RL|S1|C12278	11
RL|S1|C12301	11
RL|S1|C12345	11
RL|S1|C12375	11
RL|S1|C12393	11
RL|S1|C12395	11
RL|S1|C12408	11
RL|S1|C12415	11
RL|S1|C12420	11
RL|S1|C12426	11
RL|S1|C12508	11
RL|S1|C12530	11
RL|S1|C12546	11
RL|S1|C12569	11
RL|S1|C12598	11
RL|S1|C12610	11
RL|S1|C12613	11
RL|S1|C12626	11
RL|S1|C12705	11
RL|S1|C12735	11
RL|S1|C12773	11
RL|S1|C12913	11
RL|S1|C12925	11
RL|S1|C13052	11
RL|S1|C13107	11
RL|S1|C13112	11
RL|S1|C13189	11
RL|S1|C13227	11
RL|S1|C13262	11
RL|S1|C13273	11
RL|S1|C13309	11
RL|S1|C13390	11
RL|S1|C13394	11
RL|S1|C13463	11
RL|S1|C13473	11
RL|S1|C13475	11
RL|S1|C13503	11
RL|S1|C13508	11
RL|S1|C13608	11
RL|S1|C13694	11
RL|S1|C13701	11
RL|S1|C13728	11
RL|S1|C13789	11
RL|S1|C13809	11
RL|S1|C13826	11
RL|S1|C13850	11
RL|S1|C13919	11
RL|S1|C13925	11
RL|S1|C13934	11
RL|S1|C13949	11
RL|S1|C13972	11
RL|S1|C13974	11
RL|S1|C13992	11
RL|S1|C14005	11
RL|S1|C14021	11
RL|S1|C14039	11
RL|S1|C14056	11
RL|S1|C14078	11
RL|S1|C14084	11
RL|S1|C14101	11
RL|S1|C14168	11
RL|S1|C14176	11
RL|S1|C14184	11
RL|S1|C14201	11
RL|S1|C14232	11
RL|S1|C14378	11
RL|S1|C14392	11
RL|S1|C14425	11
RL|S1|C14472	11
RL|S1|C14475	11
RL|S1|C14482	11
RL|S1|C14504	11
RL|S1|C14530	11
RL|S1|C14553	11
RL|S1|C14554	11
RL|S1|C14573	11
RL|S1|C14596	11
RL|S1|C14653	11
RL|S1|C14663	11
RL|S1|C14692	11
RL|S1|C14708	11
RL|S1|C14738	11
RL|S1|C14749	11
RL|S1|C14764	11
RL|S1|C14813	11
RL|S1|C14984	11
RL|S1|C15068	11
RL|S1|C15089	11
RL|S1|C15185	11
RL|S1|C15210	11
RL|S1|C15219	11
RL|S1|C15244	11
RL|S1|C15374	11
RL|S1|C15394	11
RL|S1|C15405	11
RL|S1|C15436	11
RL|S1|C15484	11
RL|S1|C15498	11
RL|S1|C15503	11
RL|S1|C15520	11
RL|S1|C15533	11
RL|S1|C15588	11
RL|S1|C15626	11
RL|S1|C15661	11
RL|S1|C15708	11
RL|S1|C15716	11
RL|S1|C15743	11
RL|S1|C15784	11
RL|S1|C15811	11
RL|S1|C15849	11
RL|S1|C15878	11
RL|S1|C15889	11
RL|S1|C15907	11
RL|S1|C15924	11
RL|S1|C15931	11
RL|S1|C15948	11
RL|S1|C16025	11
RL|S1|C16028	11
RL|S1|C16056	11
RL|S1|C16092	11
RL|S1|C16135	11
RL|S1|C16141	11
RL|S1|C16155	11
RL|S1|C16177	11
RL|S1|C16192	11
RL|S1|C16248	11
RL|S1|C16251	11
RL|S1|C16336	11
RL|S1|C16408	11
RL|S1|C16522	11
RL|S1|C16529	11
RL|S1|C16530	11
RL|S1|C16568	11
RL|S1|C16576	11
RL|S1|C16591	11
RL|S1|C16620	11
RL|S1|C16634	11
RL|S1|C16643	11
RL|S1|C16720	11
RL|S1|C16782	11
RL|S1|C16812	11
RL|S1|C16816	11
RL|S1|C16845	11
RL|S1|C16870	11
RL|S1|C16957	11
RL|S1|C17011	11
RL|S1|C17033	11
RL|S1|C17127	11
RL|S1|C17143	11
RL|S1|C17215	11
RL|S1|C17223	11
RL|S1|C17240	11
RL|S1|C17256	11
RL|S1|C17311	11
RL|S1|C17324	11
RL|S1|C17333	11
RL|S1|C17419	11
RL|S1|C17430	11
RL|S1|C17435	11
RL|S1|C17451	11
RL|S1|C17458	11
RL|S1|C17461	11
RL|S1|C17464	11
RL|S1|C17509	11
RL|S1|C17521	11
RL|S1|C17530	11
RL|S1|C17592	11
RL|S1|C17602	11
RL|S1|C17665	11
RL|S1|C17699	11
RL|S1|C17700	11
RL|S1|C17745	11
RL|S1|C17754	11
RL|S1|C17776	11
RL|S1|C17836	11
RL|S1|C17845	11
RL|S1|C17862	11
RL|S1|C17863	11
RL|S1|C17865	11
RL|S1|C17987	11
RL|S1|C18020	11
RL|S1|C18046	11
RL|S1|C18061	11
RL|S1|C18072	11
RL|S1|C18133	11
RL|S1|C18167	11
RL|S1|C18244	11
RL|S1|C18251	11
RL|S1|C18292	11
RL|S1|C18300	11
RL|S1|C18311	11
RL|S1|C18319	11
RL|S1|C18355	11
RL|S1|C18364	11
RL|S1|C18392	11
RL|S1|C18394	11
RL|S1|C18438	11
RL|S1|C18463	11
RL|S1|C18496	11
RL|S1|C18513	11
RL|S1|C18534	11
RL|S1|C18552	11
RL|S1|C18582	11
RL|S1|C18594	11
RL|S1|C18644	11
RL|S1|C18651	11
RL|S1|C18730	11
RL|S1|C18748	11
RL|S1|C18779	11
RL|S1|C18787	11
RL|S1|C18796	11
RL|S1|C18797	11
RL|S1|C18799	11
RL|S1|C18806	11
RL|S1|C18824	11
RL|S1|C18829	11
RL|S1|C18834	11
RL|S1|C18852	11
RL|S1|C18867	11
RL|S1|C18882	11
RL|S1|C18902	11
RL|S1|C18918	11
RL|S1|C18975	11
RL|S1|C18987	11
RL|S1|C19136	11
RL|S1|C19165	11
RL|S1|C19179	11
RL|S1|C19189	11
RL|S1|C19190	11
RL|S1|C19198	11
RL|S1|C19297	11
RL|S1|C19332	11
RL|S1|C19340	11
RL|S1|C19489	11
RL|S1|C10	12
RL|S1|C17	12
RL|S1|C23	12
RL|S1|C49	12
RL|S1|C61	12
RL|S1|C82	12
RL|S1|C85	12
RL|S1|C90	12
RL|S1|C92	12
RL|S1|C104	12
RL|S1|C105	12
RL|S1|C108	12
RL|S1|C139	12
RL|S1|C178	12
RL|S1|C198	12
RL|S1|C201	12
RL|S1|C202	12
RL|S1|C214	12
RL|S1|C221	12
RL|S1|C231	12
RL|S1|C237	12
RL|S1|C244	12
RL|S1|C247	12
RL|S1|C283	12
RL|S1|C287	12
RL|S1|C291	12
RL|S1|C292	12
RL|S1|C293	12
RL|S1|C295	12
RL|S1|C300	12
RL|S1|C316	12
RL|S1|C318	12
RL|S1|C332	12
RL|S1|C334	12
RL|S1|C384	12
RL|S1|C410	12
RL|S1|C415	12
RL|S1|C427	12
RL|S1|C439	12
RL|S1|C443	12
RL|S1|C444	12
RL|S1|C445	12
RL|S1|C446	12
RL|S1|C447	12
RL|S1|C456	12
RL|S1|C462	12
RL|S1|C463	12
RL|S1|C466	12
RL|S1|C493	12
RL|S1|C507	12
RL|S1|C511	12
RL|S1|C519	12
RL|S1|C529	12
RL|S1|C547	12
RL|S1|C549	12
RL|S1|C550	12
RL|S1|C565	12
RL|S1|C572	12
RL|S1|C594	12
RL|S1|C596	12
RL|S1|C602	12
RL|S1|C604	12
RL|S1|C605	12
RL|S1|C612	12
RL|S1|C626	12
RL|S1|C629	12
RL|S1|C633	12
RL|S1|C636	12
RL|S1|C661	12
RL|S1|C675	12
RL|S1|C681	12
RL|S1|C689	12
RL|S1|C690	12
RL|S1|C735	12
RL|S1|C739	12
RL|S1|C743	12
RL|S1|C747	12
RL|S1|C763	12
RL|S1|C772	12
RL|S1|C783	12
RL|S1|C785	12
RL|S1|C790	12
RL|S1|C793	12
RL|S1|C794	12
RL|S1|C799	12
RL|S1|C807	12
RL|S1|C813	12
RL|S1|C816	12
RL|S1|C849	12
RL|S1|C850	12
RL|S1|C854	12
RL|S1|C873	12
RL|S1|C877	12
RL|S1|C884	12
RL|S1|C885	12
RL|S1|C888	12
RL|S1|C890	12
RL|S1|C897	12
RL|S1|C900	12
RL|S1|C901	12
RL|S1|C912	12
RL|S1|C931	12
RL|S1|C944	12
RL|S1|C950	12
RL|S1|C964	12
RL|S1|C970	12
RL|S1|C977	12
RL|S1|C982	12
RL|S1|C986	12
RL|S1|C1000	12
RL|S1|C1006	12
RL|S1|C1013	12
RL|S1|C1022	12
RL|S1|C1026	12
RL|S1|C1044	12
RL|S1|C1045	12
RL|S1|C1048	12
RL|S1|C1051	12
RL|S1|C1053	12
RL|S1|C1054	12
RL|S1|C1058	12
RL|S1|C1062	12
RL|S1|C1064	12
RL|S1|C1070	12
RL|S1|C1075	12
RL|S1|C1088	12
RL|S1|C1091	12
RL|S1|C1107	12
RL|S1|C1109	12
RL|S1|C1123	12
RL|S1|C1160	12
RL|S1|C1169	12
RL|S1|C1183	12
RL|S1|C1187	12
RL|S1|C1193	12
RL|S1|C1220	12
RL|S1|C1223	12
RL|S1|C1231	12
